ATM_ID,Date,Location,Transactions,Withdrawal_Amount,Cash_Loaded,Cash_Remaining,Weekend_Flag,Salary_Week_Flag
ATM_001,2025-01-01,Rajkot,245,470400,873977,344319,0,1
ATM_002,2025-01-01,Surat,221,516919,615737,156160,0,1
ATM_003,2025-01-01,Anand,206,560732,432164,0,0,1
ATM_004,2025-01-01,Rajkot,70,125930,360215,228803,0,1
ATM_005,2025-01-01,Vadodara,114,233586,664344,405997,0,1
ATM_006,2025-01-01,Vadodara,104,105248,855502,706049,0,1
ATM_007,2025-01-01,Anand,153,251532,867696,611050,0,1
ATM_008,2025-01-01,Surat,162,237168,756263,455518,0,1
ATM_009,2025-01-01,Anand,105,228060,698653,520792,0,1
ATM_010,2025-01-01,Rajkot,219,357189,798145,422735,0,1
ATM_011,2025-01-01,Ahmedabad,89,132343,668673,586424,0,1
ATM_012,2025-01-01,Surat,143,241527,486321,303689,0,1
ATM_013,2025-01-01,Rajkot,153,168606,740341,579114,0,1
ATM_014,2025-01-01,Anand,117,173628,404972,264380,0,1
ATM_015,2025-01-01,Anand,123,337512,363523,0,0,1
ATM_016,2025-01-01,Rajkot,113,248374,846554,580970,0,1
ATM_017,2025-01-01,Vadodara,248,183272,330604,188384,0,1
ATM_018,2025-01-01,Ahmedabad,124,170872,587093,422984,0,1
ATM_019,2025-01-01,Surat,170,289170,758921,485796,0,1
ATM_020,2025-01-01,Anand,134,393692,317110,0,0,1
ATM_001,2025-01-02,Anand,204,541416,890267,368561,0,1
ATM_002,2025-01-02,Ahmedabad,163,193318,764106,605765,0,1
ATM_003,2025-01-02,Ahmedabad,146,341786,858767,478122,0,1
ATM_004,2025-01-02,Vadodara,157,374445,770276,390093,0,1
ATM_005,2025-01-02,Vadodara,155,371070,303947,0,0,1
ATM_006,2025-01-02,Anand,121,362395,373337,0,0,1
ATM_007,2025-01-02,Rajkot,155,375410,641801,316429,0,1
ATM_008,2025-01-02,Rajkot,129,199950,661023,497446,0,1
ATM_009,2025-01-02,Vadodara,147,145236,458325,362034,0,1
ATM_010,2025-01-02,Vadodara,186,218550,687117,413969,0,1
ATM_011,2025-01-02,Ahmedabad,104,304824,325490,16467,0,1
ATM_012,2025-01-02,Ahmedabad,83,228167,689680,403442,0,1
ATM_013,2025-01-02,Surat,231,624855,561075,0,0,1
ATM_014,2025-01-02,Ahmedabad,80,219680,856040,593596,0,1
ATM_015,2025-01-02,Anand,242,602580,340883,0,0,1
ATM_016,2025-01-02,Anand,77,222607,711264,520243,0,1
ATM_017,2025-01-02,Ahmedabad,246,416724,521360,81884,0,1
ATM_018,2025-01-02,Anand,81,122148,899588,818101,0,1
ATM_019,2025-01-02,Anand,177,495069,726350,242912,0,1
ATM_020,2025-01-02,Vadodara,128,161152,576094,391127,0,1
ATM_001,2025-01-03,Anand,137,359899,593921,270353,0,1
ATM_002,2025-01-03,Anand,165,241395,831441,597419,0,1
ATM_003,2025-01-03,Surat,241,557192,418160,0,0,1
ATM_004,2025-01-03,Ahmedabad,224,608384,724316,126807,0,1
ATM_005,2025-01-03,Vadodara,78,188448,405313,181376,0,1
ATM_006,2025-01-03,Anand,104,260416,734436,432736,0,1
ATM_007,2025-01-03,Surat,113,331316,720501,326759,0,1
ATM_008,2025-01-03,Vadodara,173,163831,711269,479300,0,1
ATM_009,2025-01-03,Vadodara,240,472800,614436,97120,0,1
ATM_010,2025-01-03,Vadodara,161,276759,673230,327116,0,1
ATM_011,2025-01-03,Surat,163,459823,864652,406804,0,1
ATM_012,2025-01-03,Rajkot,107,111494,342225,248036,0,1
ATM_013,2025-01-03,Anand,85,137360,539459,465112,0,1
ATM_014,2025-01-03,Surat,198,180576,738817,551238,0,1
ATM_015,2025-01-03,Surat,81,201609,640373,456079,0,1
ATM_016,2025-01-03,Surat,196,444724,679656,191502,0,1
ATM_017,2025-01-03,Vadodara,151,409210,777287,383965,0,1
ATM_018,2025-01-03,Rajkot,211,395836,823532,438818,0,1
ATM_019,2025-01-03,Vadodara,194,253752,649899,451204,0,1
ATM_020,2025-01-03,Surat,161,229103,487570,318343,0,1
ATM_001,2025-01-04,Vadodara,181,522004,731866,270223,1,1
ATM_002,2025-01-04,Anand,230,219420,659290,452727,1,1
ATM_003,2025-01-04,Ahmedabad,149,255088,888205,585235,1,1
ATM_004,2025-01-04,Anand,175,308875,759044,429745,1,1
ATM_005,2025-01-04,Anand,168,433104,760111,383329,1,1
ATM_006,2025-01-04,Surat,217,634942,420389,0,1,1
ATM_007,2025-01-04,Anand,150,379950,499615,93515,1,1
ATM_008,2025-01-04,Surat,74,213342,525514,320948,1,1
ATM_009,2025-01-04,Anand,142,367070,791012,423062,1,1
ATM_010,2025-01-04,Vadodara,183,495381,334428,0,1,1
ATM_011,2025-01-04,Anand,119,111146,418898,330074,1,1
ATM_012,2025-01-04,Rajkot,149,164049,510944,311937,1,1
ATM_013,2025-01-04,Vadodara,189,348138,789897,383826,1,1
ATM_014,2025-01-04,Anand,157,345400,638163,326198,1,1
ATM_015,2025-01-04,Surat,234,358956,848957,468521,1,1
ATM_016,2025-01-04,Anand,215,181460,694823,488664,1,1
ATM_017,2025-01-04,Anand,244,437004,626896,150272,1,1
ATM_018,2025-01-04,Rajkot,101,134734,355551,219453,1,1
ATM_019,2025-01-04,Ahmedabad,160,460960,848172,412657,1,1
ATM_020,2025-01-04,Ahmedabad,159,272526,407896,118783,1,1
ATM_001,2025-01-05,Surat,196,218148,407670,227512,1,1
ATM_002,2025-01-05,Vadodara,80,181920,624967,420775,1,1
ATM_003,2025-01-05,Ahmedabad,221,172822,805801,597545,1,1
ATM_004,2025-01-05,Anand,72,51408,505122,403247,1,1
ATM_005,2025-01-05,Anand,239,204106,523847,386719,1,1
ATM_006,2025-01-05,Rajkot,93,235941,357089,63990,1,1
ATM_007,2025-01-05,Rajkot,199,461680,772407,283530,1,1
ATM_008,2025-01-05,Ahmedabad,105,202650,516181,269832,1,1
ATM_009,2025-01-05,Ahmedabad,100,183000,638508,393117,1,1
ATM_010,2025-01-05,Ahmedabad,158,135090,409954,268203,1,1
ATM_011,2025-01-05,Surat,122,273280,307769,18350,1,1
ATM_012,2025-01-05,Vadodara,73,118698,639917,499800,1,1
ATM_013,2025-01-05,Anand,132,108240,703535,598756,1,1
ATM_014,2025-01-05,Surat,114,270978,483412,272025,1,1
ATM_015,2025-01-05,Vadodara,145,135575,399521,286458,1,1
ATM_016,2025-01-05,Rajkot,201,254667,325566,29447,1,1
ATM_017,2025-01-05,Rajkot,174,259956,466967,256617,1,1
ATM_018,2025-01-05,Anand,96,257568,797301,469969,1,1
ATM_019,2025-01-05,Ahmedabad,167,231963,584370,383060,1,1
ATM_020,2025-01-05,Vadodara,125,208500,768557,572383,1,1
ATM_001,2025-01-06,Anand,91,149331,876437,700146,0,0
ATM_002,2025-01-06,Anand,155,248000,671741,488985,0,0
ATM_003,2025-01-06,Rajkot,40,69040,322294,300319,0,0
ATM_004,2025-01-06,Rajkot,92,171120,613163,498819,0,0
ATM_005,2025-01-06,Vadodara,155,238545,317008,117791,0,0
ATM_006,2025-01-06,Vadodara,42,87486,413602,334993,0,0
ATM_007,2025-01-06,Rajkot,139,254509,742607,502710,0,0
ATM_008,2025-01-06,Vadodara,212,445200,780714,272069,0,0
ATM_009,2025-01-06,Vadodara,125,186625,470861,271585,0,0
ATM_010,2025-01-06,Surat,213,207249,871210,608784,0,0
ATM_011,2025-01-06,Rajkot,116,282460,728508,381781,0,0
ATM_012,2025-01-06,Surat,218,416816,720131,363715,0,0
ATM_013,2025-01-06,Vadodara,65,92560,794335,704898,0,0
ATM_014,2025-01-06,Rajkot,44,53680,420897,324527,0,0
ATM_015,2025-01-06,Surat,117,172692,450667,273575,0,0
ATM_016,2025-01-06,Ahmedabad,145,105995,378731,224212,0,0
ATM_017,2025-01-06,Ahmedabad,49,37534,625622,599489,0,0
ATM_018,2025-01-06,Rajkot,105,124110,738975,663782,0,0
ATM_019,2025-01-06,Ahmedabad,206,532922,585838,104892,0,0
ATM_020,2025-01-06,Surat,184,290720,835301,570961,0,0
ATM_001,2025-01-07,Vadodara,62,67456,838471,801930,0,0
ATM_002,2025-01-07,Rajkot,217,348502,813449,474170,0,0
ATM_003,2025-01-07,Surat,83,179778,392946,230124,0,0
ATM_004,2025-01-07,Rajkot,40,89920,791797,751445,0,0
ATM_005,2025-01-07,Rajkot,55,114730,805546,647356,0,0
ATM_006,2025-01-07,Surat,129,329724,771591,385867,0,0
ATM_007,2025-01-07,Vadodara,79,208086,533907,387646,0,0
ATM_008,2025-01-07,Surat,42,124194,566881,375229,0,0
ATM_009,2025-01-07,Anand,70,72030,515876,392579,0,0
ATM_010,2025-01-07,Ahmedabad,140,371000,861232,457775,0,0
ATM_011,2025-01-07,Rajkot,136,206040,580191,422370,0,0
ATM_012,2025-01-07,Vadodara,137,138370,718714,566620,0,0
ATM_013,2025-01-07,Surat,206,319300,640080,254280,0,0
ATM_014,2025-01-07,Ahmedabad,88,151888,787199,644134,0,0
ATM_015,2025-01-07,Vadodara,55,76175,581337,490030,0,0
ATM_016,2025-01-07,Surat,185,403115,547625,203369,0,0
ATM_017,2025-01-07,Vadodara,112,125664,579729,440111,0,0
ATM_018,2025-01-07,Surat,71,105861,377408,308526,0,0
ATM_019,2025-01-07,Surat,216,238464,555720,333018,0,0
ATM_020,2025-01-07,Anand,152,366776,769581,465147,0,0
ATM_001,2025-01-08,Surat,172,295324,300148,36857,0,0
ATM_002,2025-01-08,Rajkot,127,237363,601373,303468,0,0
ATM_003,2025-01-08,Ahmedabad,152,392920,387198,0,0,0
ATM_004,2025-01-08,Ahmedabad,85,227460,603984,339429,0,0
ATM_005,2025-01-08,Surat,188,519632,370287,0,0,0
ATM_006,2025-01-08,Surat,161,283199,450466,114694,0,0
ATM_007,2025-01-08,Vadodara,78,136890,635371,541952,0,0
ATM_008,2025-01-08,Rajkot,61,151951,676363,578910,0,0
ATM_009,2025-01-08,Surat,178,438236,803473,298315,0,0
ATM_010,2025-01-08,Surat,214,326350,880213,533893,0,0
ATM_011,2025-01-08,Vadodara,213,549540,458764,0,0,0
ATM_012,2025-01-08,Surat,160,310560,554495,269976,0,0
ATM_013,2025-01-08,Surat,128,132480,420330,299163,0,0
ATM_014,2025-01-08,Vadodara,167,497994,669115,170802,0,0
ATM_015,2025-01-08,Anand,152,331360,450783,116275,0,0
ATM_016,2025-01-08,Anand,102,216648,504511,318001,0,0
ATM_017,2025-01-08,Ahmedabad,123,252888,832710,533423,0,0
ATM_018,2025-01-08,Anand,202,284618,347889,53087,0,0
ATM_019,2025-01-08,Ahmedabad,43,60329,737809,681854,0,0
ATM_020,2025-01-08,Anand,117,312741,711750,421377,0,0
ATM_001,2025-01-09,Anand,115,104765,310047,239041,0,0
ATM_002,2025-01-09,Surat,144,414576,870009,404341,0,0
ATM_003,2025-01-09,Ahmedabad,201,573453,611403,44557,0,0
ATM_004,2025-01-09,Surat,81,158679,389624,186768,0,0
ATM_005,2025-01-09,Anand,98,242550,559615,382831,0,0
ATM_006,2025-01-09,Vadodara,126,164682,514684,411622,0,0
ATM_007,2025-01-09,Anand,213,531222,671741,187771,0,0
ATM_008,2025-01-09,Surat,85,63665,814964,742439,0,0
ATM_009,2025-01-09,Vadodara,87,106140,398887,282920,0,0
ATM_010,2025-01-09,Vadodara,54,38124,531288,440042,0,0
ATM_011,2025-01-09,Anand,82,241326,414387,132851,0,0
ATM_012,2025-01-09,Vadodara,56,146552,822314,640330,0,0
ATM_013,2025-01-09,Vadodara,170,496230,335359,0,0,0
ATM_014,2025-01-09,Rajkot,207,281313,728263,419854,0,0
ATM_015,2025-01-09,Surat,125,134875,607850,439261,0,0
ATM_016,2025-01-09,Ahmedabad,187,553520,492003,0,0,0
